tau,rho_floor,rho_hall,nmbe_jun,cvrmse_jun,r2_jun,gof_jun,nmbe_nov,cvrmse_nov,r2_nov,gof_nov,gof_combined,meets_ashrae_jun,meets_ashrae_nov,success
0.72,0.11,0.19,16.150841882807086,49.90272968269867,0.7670669745478005,52.451235669981415,6.8365275478945,35.735407861050874,0.7100289150147567,36.383478172225054,44.417356921103234,False,False,True
0.72,0.11,0.21,15.80165276119321,49.548440760207164,0.770362691723698,52.007116933676336,6.16275327342436,35.17728330257606,0.7190158646353169,35.71303387362657,43.86007540365145,False,False,True
0.72,0.13,0.11,15.862627132415378,49.16341246246365,0.773917731119871,51.65911405063357,6.98849030875597,35.9764595023493,0.7061037462734997,36.6489377079303,44.15402587928193,False,False,True
0.72,0.13,0.13,16.03284950055045,49.939159397758374,0.7667267614518365,52.44970833533795,7.306678690918966,35.02599681026896,0.7214275173310645,35.779994494763415,44.11485141505068,False,False,True
0.72,0.13,0.15,15.762715228490338,49.250006063702195,0.773120613181896,51.710988084247475,6.476832954881713,34.7781347866844,0.7253562124449827,35.37609396705958,43.543541025653525,False,False,True
0.72,0.13,0.17,16.000703556712278,49.32867833543639,0.7723951971121539,51.858856723135894,6.774577677972742,35.4444584483918,0.714731448101524,36.086071238286095,43.972463980711,False,False,True
0.72,0.13,0.19,15.61924604722121,49.49505087602329,0.7708573068391472,51.90106846977015,6.39443254865806,35.832061860944606,0.7084582169759333,36.3981513929746,44.149609931372375,False,False,True
0.72,0.13,0.21,15.574574786693345,49.27634962188286,0.7728778351891201,51.679067443640456,6.244322682595569,35.07229288801273,0.7206906168709748,35.62383042553013,43.65144893458529,False,False,True
0.72,0.15,0.11,15.995058059716891,49.619649322396484,0.7697021707248315,52.13397626511252,7.149652527389961,35.43814241822417,0.7148331059812418,36.15217101802813,44.143073641570325,False,False,True
0.72,0.15,0.13,15.676676985375448,49.22993041565596,0.7733055399570278,51.66569703424244,6.31097755249737,35.14889350843541,0.719469217598532,35.71096683843016,43.6883319363363,False,False,True
0.72,0.15,0.15,15.78529839218355,49.576682557654436,0.7701008381305501,52.02906013712635,6.589334020765597,35.61155656170406,0.712035387803739,36.216050082589994,44.12255510985817,False,False,True
