tau,rho_floor,rho_hall,nmbe_jun,cvrmse_jun,r2_jun,gof_jun,nmbe_nov,cvrmse_nov,r2_nov,gof_nov,gof_combined,meets_ashrae_jun,meets_ashrae_nov,success
0.72,0.13,0.13,16.410911083567704,49.41731681462846,0.7715764981305766,52.07100156277125,7.8710070225121855,35.20400249297287,0.718588854976729,36.073183156933574,44.07209235985241,False,False,True
0.72,0.13,0.15,16.224491838426683,49.079819856880256,0.7746858933834571,51.69199988972173,7.483095202812548,34.80961293687816,0.7248588199927737,35.60485734600872,43.64842861786522,False,False,True
0.72,0.13,0.17,16.03577320966969,49.23194282816655,0.7732870060250108,51.777699997854484,7.383730367258499,35.2074232707158,0.7185341628006406,35.9733530199746,43.87552650891455,False,False,True
0.72,0.13,0.19,16.05226415567696,49.31961682153675,0.7724788099200591,51.86617190372586,7.5942853387487546,35.06323617097406,0.7208348503515001,35.87622751332472,43.871199708525296,False,False,True
0.72,0.13,0.21,16.416271611570046,49.680139272734195,0.7691403289659567,52.322177055079685,7.249873473794037,34.69644506022082,0.7266449087342032,35.44578910396754,43.88398307952362,False,False,True
0.72,0.15,0.11,16.35827569602854,49.5109261536859,0.7707102906344521,52.14331205766485,7.901682846633311,35.246547230757386,0.7179082620289454,36.12140201457843,44.13235703612164,False,False,True
0.72,0.15,0.13,15.972631105597287,49.234526276872046,0.7732632118489327,51.76063680195114,7.596600651158727,34.77624289853914,0.7253860922068707,35.59628367668989,43.678460239320515,False,False,True
0.72,0.15,0.15,15.988129042820216,49.32039104784505,0.7724716665444595,51.847094840523376,7.476670634689639,35.01789505098385,0.7215563739736719,35.807172152815276,43.827133496669326,False,False,True
0.72,0.15,0.17,15.793455246372732,49.11723135554597,0.7743422673844171,51.59394969037946,7.102513146772925,35.148373849842415,0.719477512548357,35.858804738702155,43.726377214540804,False,False,True
0.72,0.15,0.19,15.989130444377045,49.55842176240816,0.7702701664577305,52.073884625098174,6.926437231101571,34.82790295323694,0.7245696091496154,35.509975455306645,43.79193004020241,False,False,True
0.72,0.15,0.21,15.787321621026384,49.3526212954623,0.7721741956413031,51.81622094189276,7.013797247411288,35.52722141414471,0.7133976861105691,36.21293709763759,44.01457901976518,False,False,True
0.72,0.17,0.11,16.193194013189384,49.53879454462891,0.7704520957623646,52.1182472583619,7.469869339030373,35.181579588823055,0.7189472259070551,35.96585172503047,44.04204949169618,False,False,True
0.72,0.17,0.13,15.97097613768372,49.07102989134741,0.7747665915558456,51.60463209236138,7.6501862064118615,35.57746002141991,0.7125865513868355,36.39067202688769,43.997652059624535,False,False,True
0.72,0.17,0.15,16.10593730953471,49.28866633259322,0.7727642818261522,51.85338798443522,7.506145108893351,35.413802570634616,0.7152246916943648,36.200547328840905,44.026967656638064,False,False,True
0.72,0.17,0.17,16.068172253479673,49.26201504926488,0.7730099564052997,51.81633223493818,6.7984254521439595,35.55790142491965,0.7129024737990772,36.20197428832662,44.0091532616324,False,False,True
0.72,0.17,0.19,15.522247629150298,49.02012729370205,0.7752336296084391,51.418995044160624,6.262462663612155,35.407422657371285,0.7153272888728457,35.95697453694993,43.68798479055528,False,False,True
0.72,0.17,0.21,15.665479918989488,49.142021229962,0.7741144272405809,51.57853731600285,6.4688011225903574,35.730120312418116,0.7101147191442712,36.31097472532925,43.94475602066605,False,False,True
0.72,0.19,0.11,15.980964340954646,49.264574731957936,0.7729863667254769,51.79179032228498,7.61817043156539,35.14048738287707,0.7196033836991682,35.95678481497643,43.874287568630706,False,False,True
0.72,0.19,0.13,15.637259854561936,49.070027031638354,0.7747757976068637,51.50137326950431,7.201764859066826,35.03111974360278,0.7213460228553961,35.76373536944829,43.6325543194763,False,False,True
