tau,rho_floor,rho_hall,nmbe_jun,cvrmse_jun,nmae_jun,r2_jun,gof_jun,nmbe_nov,cvrmse_nov,nmae_nov,r2_nov,gof_nov,gof_combined,meets_ashrae_jun,meets_ashrae_nov,success
0.68,0.19,0.15,20.884584488304235,53.788342527503055,28.620565309661472,0.7293806872537529,35.43025018107712,11.809064593418393,37.233225224004826,24.640448186627076,0.6852117437079689,27.324086323414026,31.377168252245575,False,False,True
0.68,0.19,0.17,20.789692058324558,53.3830117436193,28.44225269321175,0.7334439113042703,35.230285751672156,11.957216062203207,36.47630067570173,24.17111414083076,0.6978804834762036,26.966975632563603,31.09863069211788,False,False,True
0.68,0.19,0.19,20.692646434525958,53.55101390809074,28.497817095042937,0.7317635090448409,35.21805212737952,11.796900871967859,37.348434404288824,24.87757017618316,0.6832606580478331,27.532896107274183,31.375474117326853,False,False,True
0.68,0.19,0.21,20.72758382625196,53.2222143501371,28.30649707037976,0.7350473042305796,35.08404919147332,11.946512856470424,37.07920540940228,24.933374011050205,0.6878106778231687,27.64764563221843,31.365847411845877,False,False,True
0.68,0.21,0.11,20.784964259450696,53.486314147671834,28.38433020538561,0.7324112783948826,35.1807467299233,12.421916334106605,36.888611145536835,24.83244398461099,0.6910118558860029,27.766063452718445,31.47340509132087,False,False,True
0.68,0.21,0.13,20.80040924985544,53.389241790975284,28.454769221004568,0.7333816909871853,35.2467149729177,12.001372835981519,36.55357030003424,24.12188920906883,0.6965991371109639,26.942503390791778,31.09460918185474,False,False,True
0.68,0.21,0.15,20.99006000633365,53.72400108397659,28.697415625685522,0.7300277279431988,35.55452548780291,12.324902935720557,36.98336967433741,24.982170297677733,0.6894223751787905,27.856993110475955,31.705759299139434,False,False,True
0.68,0.21,0.17,20.683639849202137,53.3584261979079,28.442588749589763,0.7336893795758767,35.16807944983338,11.835169449108767,37.04877320104505,24.49039768893777,0.6883229170500829,27.200198801689776,31.184139125761575,False,False,True
0.68,0.21,0.19,20.706698823405645,53.36146914680025,28.328803049195532,0.733659004140458,35.089720123753324,11.330150179864125,36.44827548506026,24.38879865263381,0.6983445494180156,26.89211413810725,30.990917130930285,False,False,True
0.68,0.21,0.21,20.67551220963901,53.59260517938596,28.41906537018349,0.7313466867211424,35.14427523289809,11.404780985362118,36.55128970915548,24.547719695172628,0.6966369945158546,27.06768500549767,31.10598011919788,False,False,True
0.7,0.09,0.11,18.788887048548425,51.11932438933962,27.179850058416587,0.7555710321136561,33.04189046833003,10.656810536355552,36.29756797783919,24.200464791097996,0.7008339814723591,26.442959496110728,29.742424982220378,False,False,True
0.7,0.09,0.13,18.90181823356594,51.987871654339266,27.55359393440585,0.7471944876762107,33.41375871159802,9.762862761872771,36.55969364228195,24.029196234803326,0.6964974790285798,25.93676465941441,29.675261685506214,False,False,True
0.7,0.09,0.15,18.683211558244103,51.32787658406733,27.328388989775,0.753572563532259,33.104429294379344,9.935388323108818,36.340679812676655,24.009450938812968,0.7001229004742842,25.983950344669186,29.544189819524263,False,False,True
0.7,0.09,0.17,18.88489215034118,51.733194664921946,27.43601298340198,0.7496652964988958,33.30726587331088,10.354075403551539,35.81757875974858,23.855224200890564,0.7086938481725258,26.005357123815582,29.656311498563234,False,False,True
0.7,0.09,0.19,18.901477625374994,51.69948931077955,27.472526210411434,0.7499913877538262,33.34674725972977,9.953991238537482,36.35668051081946,24.014932291477344,0.6998587722686169,25.996132684326763,29.671439972028267,False,False,True
0.7,0.09,0.21,18.607925584469783,51.29619061483767,27.194191644329347,0.7538767211387177,32.95116012746254,9.345658162324561,36.395064511456084,23.686305886294,0.6992246823334982,25.463354316077638,29.207257221770092,False,False,True
0.7,0.11,0.11,18.749141718728385,51.42237367522583,27.156569671479392,0.7526643587349986,33.00014532560236,10.557045876709967,36.107936232362974,23.920404069158092,0.7039517210195734,26.146451928985584,29.573298627293973,False,False,True
0.7,0.11,0.13,18.831241589139637,51.675776614779636,27.275208824479346,0.7502206750729721,33.14442149453658,9.892805901340182,36.80230055159275,24.08814321706066,0.692456082161069,26.040473349138963,29.59244742183777,False,False,True
0.7,0.11,0.15,18.654176772662076,51.180147968585,27.121811382241873,0.7549890256202811,32.91763909698917,9.819343897803181,35.67277955860195,23.68388573967481,0.7110444054955989,25.63875890742952,29.278199002209345,False,False,True
0.7,0.11,0.17,18.911389657904802,51.52141130596908,27.251577170168385,0.7517107222956563,33.17060622079059,10.51811576455615,36.64922473409909,24.40246520328711,0.6950091632767146,26.572750464230136,29.871678342510364,False,False,True
0.7,0.11,0.19,18.595791034543783,51.35803630717909,27.159499362257815,0.7532828820849709,32.91567787254125,9.614933833493339,35.689339156366124,23.354115359103314,0.7107760721001407,25.255923202859965,29.085800537700607,False,False,True
0.7,0.11,0.21,18.512579224878262,51.42175082541329,27.24145279506817,0.7526703503691379,32.93648949027995,9.599499161958029,35.63460628486794,23.688503879656487,0.7116624946584265,25.559647889142237,29.248068689711097,False,False,True
0.7,0.13,0.11,18.84450454099638,51.44492496042646,27.365098527169724,0.7524473730439043,33.22595324136449,10.29047210008856,35.85361913149076,23.921939237200483,0.7081073169546319,26.041370795544022,29.63366201845426,False,False,True
0.7,0.13,0.13,18.63145601905044,51.220994327729805,27.022368543859766,0.754597787993355,32.82285111183964,10.198254050427398,36.65982620595265,24.319420953105944,0.6948326891794734,26.371170265489305,29.597010688664472,False,False,True
0.7,0.13,0.15,18.688680395518087,51.32722413742707,27.287188916642112,0.7535788283435788,33.073515898651266,9.75068198858604,35.40088848010131,23.527673843175858,0.715432347653453,25.46816121578858,29.270838557219925,False,False,True
0.7,0.13,0.17,18.47483171225003,51.33258527017159,27.124148421189258,0.7535273482322407,32.81826982597747,9.209343544968878,35.462201969408255,23.52731294826822,0.7144457653344563,25.26551925243195,29.04189453920471,False,False,True
0.7,0.13,0.19,18.545512259742416,51.36549857502263,27.264339122344627,0.7532111814086774,32.97393232167598,9.099740761212246,36.432429484256076,23.849839986937084,0.6986067836873702,25.526851535662807,29.250391928669394,False,False,True
0.7,0.13,0.21,18.35927790611324,51.15284577977254,27.169279242083444,0.7552503594353203,32.79074289747343,9.262270566882984,35.93902374649938,23.488890608673003,0.706715062912129,25.249111629527754,29.01992726350059,False,False,True
