tau,rho_floor,rho_hall,nmbe_jun,nmbe_nov,nmbe_combined,cvrmse_jun,cvrmse_nov,cvrmse_combined,r2_jun,r2_nov,r2_combined,gof,meets_ashrae,success
0.58,0.13,0.35,26.34243274983547,13.50942837267973,19.9259305612576,59.477001431500696,58.348463165869916,58.912732298685306,0.6691123228846625,0.22693493025875178,0.44802362657170713,62.19125931856195,False,True
0.58,0.15,0.11,27.04385886095173,15.792278936459711,21.41806889870572,59.81342508578841,59.26194868538068,59.53768688558455,0.6653584930782248,0.20253971552448824,0.4339491043013565,63.27297871157649,False,True
0.58,0.15,0.13,27.03673758987502,15.944510651596442,21.49062412073573,59.817884141927145,56.96858706268376,58.39323560230545,0.6653085965580257,0.26306683240812656,0.4641877144830761,62.222318256435145,False,True
0.58,0.15,0.15,26.525810726447997,14.966376712192606,20.7460937193203,59.36212596228453,59.45093297543265,59.406529468858594,0.6703892591336591,0.19744545961546145,0.4339173593745603,62.924845237355854,False,True
0.58,0.15,0.17,26.604464403285448,15.35167688164435,20.9780706424649,59.15452017331242,57.0301106417886,58.092315407550515,0.6726907077106388,0.2614742618245429,0.46708248476759084,61.76403935374191,False,True
0.58,0.15,0.19,27.013595989368955,14.982852466302035,20.998224227835493,59.94948942761661,58.74749884930289,59.348494138459756,0.6638342678531222,0.21632504078141934,0.44007965431727075,62.95370662022412,False,True
0.58,0.15,0.21,26.606950249344923,14.68549937241069,20.646224810877808,59.39800344961746,57.50441397785031,58.45120871373389,0.6699907161708325,0.2491389593293225,0.4595648377500775,61.99040570150987,False,True
0.58,0.15,0.23,26.303784954993038,14.304134181859283,20.30395956842616,59.44144367767629,59.597837510697126,59.51964059418671,0.6695078406579564,0.19347430016568112,0.4314910704118188,62.88750583873909,False,True
0.58,0.15,0.25,26.603350710412016,14.432890284832691,20.518120497622355,59.921965779873354,57.666904270225416,58.79443502504938,0.6641428737580484,0.24488954610574465,0.4545162099318965,62.27181431972016,False,True
0.58,0.15,0.27,26.138218007113018,13.789867910272037,19.964042958692527,59.31279160083942,57.640916134302614,58.476853867571016,0.6709368937762334,0.24556998808576003,0.45825344093099674,61.790820107082055,False,True
0.58,0.15,0.29,26.449731952210975,13.96924698318072,20.209489467695846,59.936526756791174,58.03596899575787,58.98624787627452,0.6639796280440163,0.23519329421186952,0.4495864611279429,62.352232542758316,False,True
0.58,0.15,0.31,26.547581392890567,13.97047250406153,20.25902694847605,59.54055519145376,59.605053523170085,59.572804357311924,0.6684048093658299,0.19327898261440724,0.4308418959901186,62.92334377553088,False,True
0.58,0.15,0.33,26.14518711306425,13.253264253006147,19.6992256830352,59.523644977131006,57.937734057871495,58.73068951750125,0.6685931364463582,0.23778021247254377,0.453186674459451,61.94637506515038,False,True
0.58,0.15,0.35,26.220405287164496,13.810147503987439,20.015276395575967,59.73539925483752,55.893527753559525,57.81446350419852,0.66623099456395,0.2906178608516178,0.4784244277077839,61.18107125140588,False,True
0.58,0.17,0.11,26.764484838239433,15.496884056727541,21.13068444748349,59.58813749415718,59.09143225603638,59.33978487509678,0.6678746037852328,0.20712223274505848,0.4374984182651456,62.98980786001721,False,True
0.58,0.17,0.13,26.85042534263494,15.075448863193966,20.962937102914452,59.90436332544942,59.541109205012845,59.722736265231134,0.6643401650635106,0.19500895522680162,0.4296745601451561,63.29494418187839,False,True
